STATE,SOWNING SEASON,TEMP(°C),SOIL  TYPE,CROP'S WATER NEED(mm),COST OF PRODUCTION(Rs/Qtl),YIELD(Qtl/ha),CROP TYPE
MP,WINTER,20,LOAM,900,400,40,DRY CHILLI
MP,WINTER,20,CLAY,850,450,42,DRY CHILLI
MP,SPRING,25,LOAM,910,500,43,DRY CHILLI
MP,SPRING,25,SANDY,1000,490,45,DRY CHILLI
UP,WINTER,22,LOAM,860,590,39,DRY CHILLI
UP,SPRING,26,CLAY,890,550,40,DRY CHILLI
RJ,WINTER,21,LOAM,920,560,40,DRY CHILLI
RJ,SPRING,27,SANDY,1030,490,35,DRY CHILLI
GJ,WINTER,23,LOAM,890,540,38,DRY CHILLI
GJ,SPRING,25,CLAY,915,520,39,DRY CHILLI
MP,MONSOON,24,LOAM,500,1100,25,SOYABEAN
MP,MONSOON,24,LOAM,540,1150,27,SOYABEAN
MP,MONSOON,23,LOAM,499,1120,28,SOYABEAN
MP,MONSOON,23,LOAM,567,1140,25,SOYABEAN
MP,SUMMER,29,LOAM,589,1200,26,SOYABEAN
RJ,MONSOON,25,SANDY,700,1050,23,SOYABEAN
RJ,MONSOON,25,SANDY,680,1080,24,SOYABEAN
RJ,MONSOON,24,LOAM,542,1090,23,SOYABEAN
GJ,SUMMER,29,LOAM,601,1150,24,SOYABEAN
GJ,MONSOON,25,SANDY,690,1200,25,SOYABEAN
UP,AUTUMN,22,SANDY,2490,220,950,SUGARCANE
UP,AUTUMN,23,CLAY,1600,230,960,SUGARCANE
UP,AUTUMN,24,SANDY,2300,240,1000,SUGARCANE
UP,SPRING,22,CLAY,1650,235,1050,SUGARCANE
UP,SPRING,23,SANDY,2350,240,1060,SUGARCANE
GJ,AUTUMN,26,CLAY,1810,300,940,SUGARCANE
GJ,AUTUMN,27,SANDY,2450,270,970,SUGARCANE
GJ,AUTUMN,26,CLAY,2000,260,980,SUGARCANE
RJ,AUTUMN,27,SANDY,2500,250,1010,SUGARCANE
MP,AUTUMN,25,CLAY,1700,270,920,SUGARCANE
